date,gross_pnl,traded_notional,shipped_at
2026-01-05,6880.0,1116645.0,2026-09-22T08:08:14+00:00
2026-01-06,-11240.0,1035705.0,2026-09-22T08:08:14+00:00
2026-01-07,95.0,1331840.0,2026-09-22T08:08:14+00:00
2026-01-08,6250.0,9330970.0,2026-09-22T08:08:14+00:00
2026-01-09,185.0,1206815.0,2026-09-22T08:08:14+00:00
2026-01-12,5370.0,416870.0,2026-09-22T08:08:14+00:00
2026-01-13,-2405.0,1535390.0,2026-09-22T08:08:14+00:00
2026-01-14,-11260.0,8617555.0,2026-09-22T08:08:14+00:00
2026-01-15,9960.0,403700.0,2026-09-22T08:08:14+00:00
2026-01-16,-9210.0,10032700.0,2026-09-22T08:08:14+00:00
2026-01-19,5210.0,2645690.0,2026-09-22T08:08:14+00:00
2026-01-20,3400.0,459720.0,2026-09-22T08:08:14+00:00
2026-01-21,2340.0,564395.0,2026-09-22T08:08:14+00:00
2026-01-22,3510.0,737375.0,2026-09-22T08:08:14+00:00
2026-01-23,3785.0,271840.0,2026-09-22T08:08:14+00:00
2026-01-26,-170.0,557865.0,2026-09-22T08:08:14+00:00
2026-01-27,6025.0,1339325.0,2026-09-22T08:08:14+00:00
2026-01-28,11330.0,680080.0,2026-09-22T08:08:14+00:00
2026-01-29,-290.0,5852260.0,2026-09-22T08:08:14+00:00
2026-01-30,-660.0,666820.0,2026-09-22T08:08:14+00:00
2026-02-02,7620.0,1787710.0,2026-09-22T08:08:14+00:00
2026-02-03,3445.0,944995.0,2026-09-22T08:08:14+00:00
2026-02-04,3090.0,1651195.0,2026-09-22T08:08:14+00:00
2026-02-05,-2405.0,904235.0,2026-09-22T08:08:14+00:00
2026-02-06,-5560.0,922605.0,2026-09-22T08:08:14+00:00
2026-02-09,5185.0,8164770.0,2026-09-22T08:08:14+00:00
2026-02-10,2250.0,258680.0,2026-09-22T08:08:14+00:00
2026-02-11,-4970.0,537225.0,2026-09-22T08:08:14+00:00
2026-02-12,4150.0,1589695.0,2026-09-22T08:08:14+00:00
2026-02-13,-2050.0,3611145.0,2026-09-22T08:08:14+00:00
2026-02-24,15240.0,1344690.0,2026-09-22T08:08:14+00:00
2026-02-25,7530.0,9907860.0,2026-09-22T08:08:14+00:00
2026-02-26,-3995.0,3188200.0,2026-09-22T08:08:14+00:00
2026-02-27,-1605.0,2032130.0,2026-09-22T08:08:14+00:00
2026-03-02,-7825.0,303805.0,2026-09-22T08:08:14+00:00
2026-03-03,-5880.0,1705990.0,2026-09-22T08:08:14+00:00
2026-03-04,3720.0,542650.0,2026-09-22T08:08:14+00:00
2026-03-05,-17670.0,486310.0,2026-09-22T08:08:14+00:00
2026-03-06,-10985.0,320050.0,2026-09-22T08:08:14+00:00
2026-03-09,-8025.0,1321610.0,2026-09-22T08:08:14+00:00
2026-03-10,15360.0,1361350.0,2026-09-22T08:08:14+00:00
2026-03-11,-4865.0,6440140.0,2026-09-22T08:08:14+00:00
2026-03-12,13480.0,1586450.0,2026-09-22T08:08:14+00:00
2026-03-13,-2760.0,3622520.0,2026-09-22T08:08:14+00:00
2026-03-16,3205.0,829630.0,2026-09-22T08:08:14+00:00
2026-03-17,3540.0,540450.0,2026-09-22T08:08:14+00:00
2026-03-18,-7300.0,1671805.0,2026-09-22T08:08:14+00:00
2026-03-19,3665.0,517480.0,2026-09-22T08:08:14+00:00
2026-03-20,-13645.0,354950.0,2026-09-22T08:08:14+00:00
2026-03-23,3145.0,4415990.0,2026-09-22T08:08:14+00:00
2026-03-24,6315.0,2814815.0,2026-09-22T08:08:14+00:00
2026-03-25,-300.0,1673435.0,2026-09-22T08:08:14+00:00
2026-03-26,-4920.0,633120.0,2026-09-22T08:08:14+00:00
2026-03-27,-1285.0,220070.0,2026-09-22T08:08:14+00:00
2026-03-30,5385.0,158530.0,2026-09-22T08:08:14+00:00
2026-03-31,3725.0,6586305.0,2026-09-22T08:08:14+00:00
2026-04-01,55.0,562105.0,2026-09-22T08:08:14+00:00
2026-04-02,4680.0,509755.0,2026-09-22T08:08:14+00:00
2026-04-03,1325.0,1458845.0,2026-09-22T08:08:14+00:00
2026-04-07,-3760.0,3636475.0,2026-09-22T08:08:14+00:00
2026-04-08,65.0,1245230.0,2026-09-22T08:08:14+00:00
2026-04-09,-3600.0,1250985.0,2026-09-22T08:08:14+00:00
2026-04-10,1405.0,4047635.0,2026-09-22T08:08:14+00:00
2026-04-13,2325.0,4738895.0,2026-09-22T08:08:14+00:00
2026-04-14,730.0,2250680.0,2026-09-22T08:08:14+00:00
2026-04-15,11075.0,1947690.0,2026-09-22T08:08:14+00:00
2026-04-16,635.0,1926080.0,2026-09-22T08:08:14+00:00
2026-04-17,-11595.0,2173605.0,2026-09-22T08:08:14+00:00
2026-04-20,6000.0,2272965.0,2026-09-22T08:08:14+00:00
2026-04-21,-5230.0,223180.0,2026-09-22T08:08:14+00:00
2026-04-22,23515.0,1171320.0,2026-09-22T08:08:14+00:00
2026-04-23,-3220.0,9503205.0,2026-09-22T08:08:14+00:00
2026-04-24,-95.0,3197550.0,2026-09-22T08:08:14+00:00
2026-04-27,980.0,4303895.0,2026-09-22T08:08:14+00:00
2026-04-28,-95.0,1043160.0,2026-09-22T08:08:14+00:00
2026-04-29,2910.0,1116005.0,2026-09-22T08:08:14+00:00
2026-04-30,-4470.0,1385230.0,2026-09-22T08:08:14+00:00
2026-05-06,6135.0,4423070.0,2026-09-22T08:08:14+00:00
2026-05-07,9710.0,419490.0,2026-09-22T08:08:14+00:00
2026-05-08,-3890.0,8700820.0,2026-09-22T08:08:14+00:00
2026-05-11,-1420.0,1943635.0,2026-09-22T08:08:14+00:00
2026-05-12,3505.0,752655.0,2026-09-22T08:08:14+00:00
2026-05-13,13270.0,1392990.0,2026-09-22T08:08:14+00:00
2026-05-14,-4675.0,290050.0,2026-09-22T08:08:14+00:00
2026-05-15,5465.0,592280.0,2026-09-22T08:08:14+00:00
2026-05-18,12375.0,1264920.0,2026-09-22T08:08:14+00:00
2026-05-19,7835.0,9103090.0,2026-09-22T08:08:14+00:00
2026-05-20,-3195.0,937790.0,2026-09-22T08:08:14+00:00
2026-05-21,11745.0,2063470.0,2026-09-22T08:08:14+00:00
2026-05-22,-6285.0,424390.0,2026-09-22T08:08:14+00:00
2026-05-25,-9540.0,1846680.0,2026-09-22T08:08:14+00:00
2026-05-26,6760.0,10637230.0,2026-09-22T08:08:14+00:00
2026-05-27,-4040.0,1991600.0,2026-09-22T08:08:14+00:00
2026-05-28,2610.0,1212515.0,2026-09-22T08:08:14+00:00
2026-05-29,-9575.0,726635.0,2026-09-22T08:08:14+00:00
2026-06-01,3850.0,1586010.0,2026-09-22T08:08:14+00:00
2026-06-02,5340.0,1586050.0,2026-09-22T08:08:14+00:00
2026-06-03,10870.0,431340.0,2026-09-22T08:08:14+00:00
2026-06-04,7100.0,1082545.0,2026-09-22T08:08:14+00:00
2026-06-05,6345.0,8575370.0,2026-09-22T08:08:14+00:00
2026-06-08,-1045.0,3766660.0,2026-09-22T08:08:14+00:00
2026-06-09,-9015.0,10707505.0,2026-09-22T08:08:14+00:00
2026-06-10,-23605.0,4320905.0,2026-09-22T08:08:14+00:00
2026-06-11,1250.0,343695.0,2026-09-22T08:08:14+00:00
2026-06-12,5865.0,496440.0,2026-09-22T08:08:14+00:00
2026-06-15,11060.0,1126300.0,2026-09-22T08:08:14+00:00
2026-06-16,-11320.0,1454900.0,2026-09-22T08:08:14+00:00
