date,regime,scale,bt_gross_fullsize,expected,exec_cost,slip_total,exec_unbenchmarked,marking,basis_eod,bookdiff_carry,bookdiff_creation,intraday_unfilled,intraday_runs_used,intraday_unpriced,offbook_pnl,n_offbook,n_offbook_rows,n_offbook_traded,offbook_tickers,resid,live_gross,fees,broker_resid,live_net,pnl_final,n_live_contracts,n_nobench,nobench_notional,n_bench_late,bench_late_notional,live_gross_notional
2026-08-18,legacy,0.05,24273.1852,1213.6592600000001,455.0,260.0,195.0,760.0,760.0,0.0,-145.25000000000003,-815.0,4,3,0.0,8,0,0,SP a2611&a2703 SP c2611&c2701 SP cs2611&cs2703 SP l2609&l2701 SP m2701&m2705 SP pp2609&pp2701 SP v2609&v2701 SP y2701&y2705,346.59073999999987,905.0,172.93,0.5600000000000591,732.63,True,60,0,0.0,0,0.0,4784635.0
2026-08-19,legacy,0.05,612.1343999999999,30.606719999999996,-480.0,-480.0,0.0,-730.0,30.0,-93.00000000000003,-413.2500000000001,0.0,0,0,0.0,12,0,0,SP a2611&a2703 SP b2611&b2701 SP c2611&c2701 SP cs2611&cs2701 SP cs2611&cs2703 SP cs2703&cs2703 SP l2609&l2701 SP m2701&m2705 SP p2701&p2705 SP pp2609&pp2701 SP v2609&v2701 SP y2701&y2705,610.6432800000001,-115.0,20.36,0.060000000000002274,-135.3,True,59,1,29580.0,0,0.0,4551015.0
2026-08-20,legacy,0.05,36190.9,1809.545,-517.5,-505.0,-12.5,-275.0,-245.0,-787.2499999999998,-873.25,266.2499999999996,3,14,-50.0,11,1,1,SF612 SP a2611&a2703 SP b2611&b2701 SP c2611&c2701 SP cs2611&cs2701 SP cs2703&cs2703 SP m2701&m2705 SP p2701&p2705 SP pp2609&pp2701 SP v2609&v2701 SP y2701&y2705,2492.2050000000004,3100.0,123.87,0.4299999999998363,2976.56,True,54,0,0.0,0,0.0,4839305.0
2026-08-21,legacy,0.05,4527.7302,226.38651000000002,157.5,160.0,-2.5,690.0,445.0,-553.75,356.00000000000017,515.5,4,126,0.0,6,0,0,SP a2611&a2703 SP b2611&b2701 SP cs2703&cs2703 SP m2701&m2705 SP p2701&p2705 SP y2701&y2705,-2061.6365100000003,-985.0,44.13,0.12000000000011823,-1029.01,True,46,0,0.0,46,4861495.0,4861495.0
2026-08-24,legacy,0.05,10429.5615,521.478075,710.0,710.0,0.0,-1300.0,-855.0,-426.5000000000001,-851.2500000000001,-605.75,4,6,0.0,0,0,0,,4132.021925,760.0,101.48,0.2300000000000182,658.75,True,50,0,0.0,0,0.0,5071460.0
2026-08-25,legacy,0.05,15050.8572,752.54286,370.0,405.0,-35.0,1765.0,910.0,1998.000000000001,277.24999999999943,-1404.7500000000014,4,18,0.0,0,0,0,,-1783.042859999999,1235.0,107.66,0.3200000000001637,1127.66,True,48,0,0.0,0,0.0,4640765.0
2026-08-26,legacy,0.05,-73695.0224,-3684.7511200000004,80.0,65.0,15.0,-900.0,10.0,-186.00000000000009,-240.74999999999997,-402.7499999999999,4,15,0.0,0,0,0,,3749.2511200000004,-1745.0,104.69,0.2599999999999909,-1849.43,True,51,0,0.0,0,0.0,4874655.0
2026-08-27,legacy,0.2,87938.7108,17587.74216,-1615.0,-1865.0,250.0,1660.0,1670.0,-909.5000000000001,-876.5000000000003,-54.74999999999988,5,12,0.0,0,0,0,,-17266.99216,1755.0,1038.19,2.0400000000000773,718.85,True,66,0,0.0,0,0.0,20476365.0
2026-08-31,forward,0.2,45877.6008,9175.52016,580.0,505.0,75.0,7325.0,8995.0,-564.9999999999989,1585.9999999999982,21.000000000000227,3,8,0.0,0,0,0,,-17347.52016,-385.0,812.15,2.050000000000182,-1195.1,True,74,5,235750.0,0,0.0,18680545.0
2026-09-01,forward,0.5,125828.55560000002,62914.27780000001,12117.5,2725.0,9392.5,-33224.999999999374,-24229.999999999374,12841.999999999998,-168.5000000000001,0.0,2,72,0.0,0,0,0,,-8190.277800000635,22055.0,1962.56,23.840000000000146,20116.28,True,93,0,0.0,91,60094685.0,60303065.0
